,total_tests,total_cases,total_deaths,new_tests,new_cases,new_deaths
2020-02-27,235.0,235.0,2.0,27.0,27.0,0.0
2020-02-28,275.0,275.0,4.0,40.0,40.0,2.0
2020-02-29,316.0,299.0,5.0,41.0,24.0,1.0
2020-03-01,402.0,388.0,8.0,86.0,89.0,3.0
2020-03-02,596.0,470.0,11.0,194.0,82.0,3.0
2020-03-03,839.0,570.0,14.0,243.0,100.0,3.0
2020-03-04,1937.0,757.0,16.0,1098.0,187.0,2.0
2020-03-05,2554.0,910.0,20.0,617.0,153.0,4.0
2020-03-06,3340.0,1051.0,26.0,786.0,141.0,6.0
2020-03-07,4138.0,1271.0,27.0,798.0,220.0,1.0
2020-03-08,5012.0,1538.0,31.0,874.0,267.0,4.0
2020-03-09,6785.0,1905.0,35.0,1773.0,367.0,4.0
2020-03-10,9275.0,2346.0,37.0,2490.0,441.0,2.0
2020-03-11,13093.0,2873.0,43.0,3818.0,527.0,6.0
2020-03-12,18403.0,3555.0,51.0,5310.0,682.0,8.0
2020-03-13,27574.0,4580.0,55.0,9171.0,1025.0,4.0
2020-03-14,32184.0,5495.0,64.0,4610.0,915.0,9.0
2020-03-15,39788.0,6746.0,79.0,7604.0,1251.0,15.0
2020-03-16,57712.0,8315.0,100.0,17924.0,1569.0,21.0
2020-03-17,75032.0,11928.0,122.0,17320.0,3613.0,22.0
2020-03-18,100096.0,15099.0,153.0,25064.0,3171.0,31.0
2020-03-19,128177.0,19770.0,199.0,28081.0,4671.0,46.0
2020-03-20,164839.0,26025.0,267.0,36662.0,6255.0,68.0
2020-03-21,210172.0,32910.0,328.0,45333.0,6885.0,61.0
2020-03-22,255645.0,42169.0,471.0,45473.0,9259.0,143.0
2020-03-23,313793.0,53611.0,568.0,58148.0,11442.0,97.0
2020-03-24,382930.0,64243.0,799.0,69137.0,10632.0,231.0
2020-03-25,467324.0,77116.0,1031.0,84394.0,12873.0,232.0
2020-03-26,569139.0,94772.0,1342.0,101815.0,17656.0,311.0
2020-03-27,671795.0,113816.0,1743.0,102656.0,19044.0,401.0
2020-03-28,778665.0,133540.0,2262.0,106870.0,19724.0,519.0
2020-03-29,866277.0,153195.0,2778.0,87612.0,19655.0,516.0
2020-03-30,984738.0,175092.0,3355.0,118461.0,21897.0,577.0
2020-03-31,1097068.0,199786.0,4216.0,112330.0,24694.0,861.0
2020-04-01,1205589.0,225559.0,5204.0,108521.0,25773.0,988.0
2020-04-02,1324440.0,253551.0,6353.0,118851.0,27992.0,1149.0
2020-04-03,1457330.0,285496.0,7612.0,132890.0,31945.0,1259.0
2020-04-04,1686523.0,318748.0,9052.0,229193.0,33252.0,1440.0
2020-04-05,1806178.0,344298.0,10337.0,119655.0,25550.0,1285.0
2020-04-06,1958186.0,373235.0,11591.0,152008.0,28937.0,1254.0
2020-04-07,2112428.0,403972.0,13547.0,154242.0,30737.0,1956.0
2020-04-08,2259916.0,434506.0,15491.0,147488.0,30534.0,1944.0
2020-04-09,2430974.0,468925.0,17463.0,171058.0,34419.0,1972.0
2020-04-10,2589367.0,503276.0,19518.0,158393.0,34351.0,2055.0
2020-04-11,2726354.0,533837.0,21500.0,136987.0,30561.0,1982.0
2020-04-12,2865271.0,561681.0,23130.0,138917.0,27844.0,1630.0
2020-04-13,2999454.0,586814.0,24702.0,134183.0,25133.0,1572.0
2020-04-14,3151226.0,612445.0,26989.0,151772.0,25631.0,2287.0
2020-04-15,3288208.0,642743.0,29475.0,136982.0,30298.0,2486.0
2020-04-16,3452006.0,673666.0,31616.0,163798.0,30923.0,2141.0
2020-04-17,3610690.0,705630.0,33693.0,158684.0,31964.0,2077.0
2020-04-18,3756524.0,733593.0,35530.0,145834.0,27963.0,1837.0
2020-04-19,3910454.0,761061.0,37263.0,153930.0,27468.0,1733.0
2020-04-20,4056142.0,786933.0,39028.0,145688.0,25872.0,1765.0
2020-04-21,4208976.0,813266.0,41457.0,152834.0,26333.0,2429.0
2020-04-22,4532459.0,842182.0,43522.0,323483.0,28916.0,2065.0
2020-04-23,4725269.0,873966.0,45286.0,192810.0,31784.0,1764.0
2020-04-24,4961126.0,908140.0,47151.0,235857.0,34174.0,1865.0
2020-04-25,5237276.0,944041.0,48865.0,276150.0,35901.0,1714.0
2020-04-26,5443564.0,971421.0,50053.0,206288.0,27380.0,1188.0
2020-04-27,5638964.0,994026.0,51290.0,195400.0,22605.0,1237.0
2020-04-28,5845578.0,1019245.0,53332.0,206614.0,25219.0,2042.0
2020-04-29,6084183.0,1045886.0,56024.0,238605.0,26641.0,2692.0
2020-04-30,6316991.0,1075454.0,58141.0,232808.0,29568.0,2117.0
2020-05-01,6612217.0,1108510.0,59894.0,295226.0,33056.0,1753.0
2020-05-02,6859301.0,1137695.0,61435.0,247084.0,29185.0,1541.0
2020-05-03,7095815.0,1163462.0,62641.0,236514.0,25767.0,1206.0
2020-05-04,7327271.0,1185985.0,63653.0,231456.0,22523.0,1012.0
2020-05-05,7598742.0,1208434.0,66098.0,271471.0,22449.0,2445.0
2020-05-06,7843575.0,1233490.0,68030.0,244833.0,25056.0,1932.0
2020-05-07,8145219.0,1260980.0,70770.0,301644.0,27490.0,2740.0
2020-05-08,8443069.0,1288585.0,72549.0,297850.0,27605.0,1779.0
2020-05-09,8734678.0,1313395.0,73981.0,291609.0,24810.0,1432.0
2020-05-10,9001008.0,1334899.0,75005.0,266330.0,21504.0,1024.0
2020-05-11,9383131.0,1353135.0,75892.0,382123.0,18236.0,887.0
2020-05-12,9691686.0,1375798.0,77364.0,308555.0,22663.0,1472.0
2020-05-13,10010727.0,1396991.0,79060.0,319041.0,21193.0,1696.0
2020-05-14,10374801.0,1423696.0,80931.0,364074.0,26705.0,1871.0
2020-05-15,10733124.0,1448406.0,82433.0,358323.0,24710.0,1502.0
2020-05-16,11095244.0,1473107.0,83417.0,362120.0,24701.0,984.0
2020-05-17,11466398.0,1493278.0,84263.0,371154.0,20171.0,846.0
2020-05-18,11821111.0,1514270.0,85107.0,354713.0,20992.0,844.0
2020-05-19,12222450.0,1535123.0,86432.0,401339.0,20853.0,1325.0
2020-05-20,12629609.0,1556442.0,87824.0,407159.0,21319.0,1392.0
2020-05-21,13091428.0,1582955.0,89212.0,461819.0,26513.0,1388.0
2020-05-22,13500516.0,1607510.0,90547.0,409088.0,24555.0,1335.0
2020-05-23,13890516.0,1629100.0,91607.0,390000.0,21590.0,1060.0
2020-05-24,14272021.0,1649205.0,92285.0,381505.0,20105.0,678.0
2020-05-25,14694609.0,1668003.0,92840.0,422588.0,18798.0,555.0
2020-05-26,15000541.0,1684632.0,93480.0,305932.0,16629.0,640.0
2020-05-27,15308974.0,1704017.0,94798.0,308433.0,19385.0,1318.0
2020-05-28,15743444.0,1726618.0,96024.0,434470.0,22601.0,1226.0
2020-05-29,16230673.0,1750140.0,97203.0,487229.0,23522.0,1179.0
2020-05-30,16656427.0,1773902.0,98132.0,425754.0,23762.0,929.0
2020-05-31,17052598.0,1795541.0,98781.0,396171.0,21639.0,649.0
2020-06-01,17464925.0,1815956.0,99446.0,412327.0,20415.0,665.0
2020-06-02,17883571.0,1835938.0,100405.0,418646.0,19982.0,959.0
2020-06-03,18350285.0,1856250.0,101396.0,466714.0,20312.0,991.0
2020-06-04,18811269.0,1877089.0,102284.0,460984.0,20839.0,888.0
2020-06-05,19317544.0,1900441.0,103107.0,506275.0,23352.0,823.0
2020-06-06,19861363.0,1923547.0,103834.0,543819.0,23106.0,727.0
2020-06-07,20283734.0,1942370.0,104280.0,422371.0,18823.0,446.0
2020-06-08,20678880.0,1959382.0,104940.0,395146.0,17012.0,660.0
2020-06-09,21098604.0,1976557.0,105838.0,419724.0,17175.0,898.0
2020-06-10,21527603.0,1997360.0,106723.0,428999.0,20803.0,885.0
2020-06-11,21987058.0,2019392.0,107621.0,459455.0,22032.0,898.0
2020-06-12,22610183.0,2042869.0,108393.0,623125.0,23477.0,772.0
2020-06-13,23106611.0,2068210.0,109084.0,496428.0,25341.0,691.0
2020-06-14,23591831.0,2089583.0,109439.0,485220.0,21373.0,355.0
2020-06-15,24024642.0,2108093.0,109819.0,432811.0,18510.0,380.0
2020-06-16,24489171.0,2131528.0,110548.0,464529.0,23435.0,729.0
2020-06-17,24974461.0,2155401.0,111315.0,485290.0,23873.0,767.0
2020-06-18,25490654.0,2182928.0,112019.0,516193.0,27527.0,704.0
2020-06-19,26064646.0,2213974.0,112674.0,573992.0,31046.0,655.0
2020-06-20,26623861.0,2245968.0,113302.0,559215.0,31994.0,628.0
2020-06-21,27134959.0,2273252.0,113594.0,511098.0,27284.0,292.0
2020-06-22,27601564.0,2300269.0,113877.0,466605.0,27017.0,283.0
2020-06-23,28093283.0,2333290.0,114585.0,491719.0,33021.0,708.0
2020-06-24,28612485.0,2371974.0,115309.0,519202.0,38684.0,724.0
2020-06-25,29249633.0,2411046.0,117810.0,637148.0,39072.0,2501.0
2020-06-26,29856380.0,2455467.0,118446.0,606747.0,44421.0,636.0
2020-06-27,30455766.0,2499250.0,118955.0,599386.0,43783.0,509.0
2020-06-28,31039664.0,2541107.0,119226.0,583898.0,41857.0,271.0
2020-06-29,31686488.0,2580282.0,119556.0,646824.0,39175.0,330.0
2020-06-30,32310551.0,2627744.0,120152.0,624063.0,47462.0,596.0
2020-07-01,32943837.0,2678418.0,120853.0,633286.0,50674.0,701.0
2020-07-02,33606153.0,2732244.0,121550.0,662316.0,53826.0,697.0
2020-07-03,34317102.0,2786467.0,122147.0,710949.0,54223.0,597.0
2020-07-04,34959273.0,2841201.0,122453.0,642171.0,54734.0,306.0
2020-07-05,35640723.0,2886990.0,122662.0,681450.0,45789.0,209.0
2020-07-06,36141924.0,2928590.0,122904.0,501201.0,41600.0,242.0
2020-07-07,36776715.0,2980356.0,123826.0,634791.0,51766.0,922.0
2020-07-08,37405817.0,3042503.0,124723.0,629102.0,62147.0,897.0
2020-07-09,38108867.0,3101339.0,125590.0,703050.0,58836.0,867.0
2020-07-10,38919673.0,3167984.0,126444.0,810806.0,66645.0,854.0
2020-07-11,39618117.0,3230991.0,127201.0,698444.0,63007.0,757.0
2020-07-12,40376441.0,3291969.0,127677.0,758324.0,60978.0,476.0
2020-07-13,41070017.0,3350434.0,128004.0,693576.0,58465.0,327.0
2020-07-14,41839999.0,3413313.0,128740.0,769982.0,62879.0,736.0
2020-07-15,42601996.0,3478695.0,129598.0,761997.0,65382.0,858.0
2020-07-16,43429560.0,3549648.0,130572.0,827564.0,70953.0,974.0
2020-07-17,44266952.0,3626881.0,131523.0,837392.0,77233.0,951.0
2020-07-18,45028584.0,3692061.0,132395.0,761632.0,65180.0,872.0
2020-07-19,45827092.0,3756945.0,132921.0,798508.0,64884.0,526.0
2020-07-20,46538107.0,3813916.0,133283.0,711015.0,56971.0,362.0
2020-07-21,47288355.0,3877558.0,134321.0,750248.0,63642.0,1038.0
2020-07-22,48083857.0,3946708.0,135438.0,795502.0,69150.0,1117.0
2020-07-23,48908256.0,4017735.0,136477.0,824399.0,71027.0,1039.0
2020-07-24,49838094.0,4092928.0,137655.0,929838.0,75193.0,1178.0
2020-07-25,50635683.0,4158341.0,138692.0,797589.0,65413.0,1037.0
2020-07-26,51491494.0,4220054.0,139250.0,855811.0,61713.0,558.0
2020-07-27,52252334.0,4275188.0,140309.0,760840.0,55134.0,1059.0
2020-07-28,52987821.0,4331417.0,141430.0,735487.0,56229.0,1121.0
2020-07-29,53841147.0,4398386.0,142877.0,853326.0,66969.0,1447.0
2020-07-30,54647001.0,4467852.0,144136.0,805854.0,69466.0,1259.0
2020-07-31,55372983.0,4535607.0,145447.0,725982.0,67755.0,1311.0
2020-08-01,56098993.0,4596299.0,146636.0,726010.0,60692.0,1189.0
2020-08-02,56812162.0,4644565.0,147134.0,713169.0,48266.0,498.0
2020-08-03,57543852.0,4694126.0,147653.0,731690.0,49561.0,519.0
2020-08-04,58239438.0,4745694.0,148829.0,695586.0,51568.0,1176.0
2020-08-05,58920975.0,4797959.0,150232.0,681537.0,52265.0,1403.0
2020-08-06,59652675.0,4852143.0,151483.0,731700.0,54184.0,1251.0
