,total_deaths,total_cases,total_active,total_tests,new_deaths,new_cases,new_active,new_tests
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,5.0,101.0,0.0,178.0,5.0,101.0,0.0,178.0
2020-04-26,6.0,105.5,0.0,199.5,1.0,4.5,0.0,21.5
2020-04-27,7.0,110.0,0.0,221.0,1.0,4.5,0.0,21.5
2020-04-28,8.0,112.0,0.0,228.0,1.0,2.0,0.0,7.0
2020-04-29,9.0,112.0,0.0,232.0,1.0,0.0,0.0,4.0
2020-04-30,9.0,116.0,0.0,240.0,0.0,4.0,0.0,8.0
2020-05-01,10.0,119.0,0.0,248.0,1.0,3.0,0.0,8.0
2020-05-02,10.0,120.66666666666667,0.0,250.33333333333334,0.0,1.6666666666666714,0.0,2.333333333333343
2020-05-03,10.0,122.33333333333333,0.0,252.66666666666666,0.0,1.6666666666666572,0.0,2.3333333333333144
2020-05-04,10.0,124.0,0.0,255.0,0.0,1.6666666666666714,0.0,2.333333333333343
2020-05-05,10.0,133.0,0.0,270.0,0.0,9.0,0.0,15.0
2020-05-06,11.0,136.0,0.0,277.0,1.0,3.0,0.0,7.0
2020-05-07,11.0,141.0,0.0,283.0,0.0,5.0,0.0,6.0
2020-05-08,14.0,157.0,0.0,311.0,3.0,16.0,0.0,28.0
2020-05-09,14.333333333333334,157.66666666666666,0.0,313.3333333333333,0.3333333333333339,0.6666666666666572,0.0,2.3333333333333144
2020-05-10,14.666666666666666,158.33333333333334,0.0,315.6666666666667,0.33333333333333215,0.6666666666666856,0.0,2.3333333333333712
2020-05-11,15.0,159.0,0.0,318.0,0.3333333333333339,0.6666666666666572,0.0,2.3333333333333144
2020-05-12,15.0,159.0,0.0,324.0,0.0,0.0,0.0,6.0
2020-05-13,15.0,160.0,0.0,329.0,0.0,1.0,0.0,5.0
2020-05-14,15.0,160.0,0.0,331.0,0.0,0.0,0.0,2.0
2020-05-15,15.0,161.0,0.0,343.0,0.0,1.0,0.0,12.0
2020-05-16,15.666666666666666,162.0,0.0,346.3333333333333,0.6666666666666661,1.0,0.0,3.3333333333333144
2020-05-17,16.333333333333332,163.0,0.0,349.6666666666667,0.6666666666666661,1.0,0.0,3.3333333333333712
2020-05-18,17.0,164.0,0.0,353.0,0.6666666666666679,1.0,0.0,3.3333333333333144
2020-05-19,17.0,165.5,0.0,354.5,0.0,1.5,0.0,1.5
2020-05-20,17.0,167.0,0.0,356.0,0.0,1.5,0.0,1.5
2020-05-21,17.0,169.0,0.0,363.0,0.0,2.0,0.0,7.0
2020-05-22,17.0,170.0,0.0,368.0,0.0,1.0,0.0,5.0
2020-05-23,17.0,170.5,0.0,369.25,0.0,0.5,0.0,1.25
2020-05-24,17.0,171.0,0.0,370.5,0.0,0.5,0.0,1.25
2020-05-25,17.0,171.5,0.0,371.75,0.0,0.5,0.0,1.25
2020-05-26,17.0,172.0,0.0,373.0,0.0,0.5,0.0,1.25
2020-05-27,17.0,173.0,0.0,380.0,0.0,1.0,0.0,7.0
2020-05-28,18.0,174.0,0.0,393.0,1.0,1.0,0.0,13.0
2020-05-29,18.0,174.0,0.0,390.0,0.0,0.0,0.0,-3.0
2020-05-30,18.0,174.33333333333334,0.0,392.0,0.0,0.3333333333333428,0.0,2.0
2020-05-31,18.0,174.66666666666666,0.0,394.0,0.0,0.3333333333333144,0.0,2.0
2020-06-01,18.0,175.0,0.0,396.0,0.0,0.3333333333333428,0.0,2.0
2020-06-02,18.0,176.0,0.0,404.0,0.0,1.0,0.0,8.0
2020-06-03,18.0,177.0,0.0,410.0,0.0,1.0,0.0,6.0
2020-06-04,18.0,179.0,0.0,421.0,0.0,2.0,0.0,11.0
2020-06-05,18.0,180.0,0.0,430.0,0.0,1.0,0.0,9.0
2020-06-06,18.0,180.66666666666666,0.0,432.0,0.0,0.6666666666666572,0.0,2.0
2020-06-07,18.0,181.33333333333334,0.0,434.0,0.0,0.6666666666666856,0.0,2.0
2020-06-08,18.0,182.0,0.0,436.0,0.0,0.6666666666666572,0.0,2.0
2020-06-09,18.0,179.0,0.0,439.0,0.0,-3.0,0.0,3.0
2020-06-10,18.0,182.0,0.0,458.0,0.0,3.0,0.0,19.0
2020-06-11,18.0,182.0,0.0,470.0,0.0,0.0,0.0,12.0
2020-06-12,18.0,182.0,0.0,482.0,0.0,0.0,0.0,12.0
2020-06-13,18.0,184.66666666666666,0.0,488.3333333333333,0.0,2.666666666666657,0.0,6.333333333333314
2020-06-14,18.0,187.33333333333334,0.0,494.6666666666667,0.0,2.6666666666666856,0.0,6.333333333333371
2020-06-15,18.0,190.0,0.0,501.0,0.0,2.666666666666657,0.0,6.333333333333314
2020-06-16,18.0,190.0,0.0,507.0,0.0,0.0,0.0,6.0
2020-06-17,18.0,190.0,0.0,521.0,0.0,0.0,0.0,14.0
2020-06-18,18.0,190.5,0.0,527.5,0.0,0.5,0.0,6.5
2020-06-19,18.0,191.0,0.0,534.0,0.0,0.5,0.0,6.5
2020-06-20,18.0,191.66666666666666,0.0,539.6666666666666,0.0,0.6666666666666572,0.0,5.666666666666629
2020-06-21,18.0,192.33333333333334,0.0,545.3333333333334,0.0,0.6666666666666856,0.0,5.6666666666667425
2020-06-22,18.0,193.0,0.0,551.0,0.0,0.6666666666666572,0.0,5.666666666666629
2020-06-23,18.0,193.0,0.0,557.5,0.0,0.0,0.0,6.5
2020-06-24,18.0,193.0,0.0,564.0,0.0,0.0,0.0,6.5
2020-06-25,18.0,193.5,0.0,564.5,0.0,0.5,0.0,0.5
2020-06-26,18.0,194.0,0.0,565.0,0.0,0.5,0.0,0.5
2020-06-27,18.0,194.33333333333334,0.0,565.3333333333334,0.0,0.3333333333333428,0.0,0.33333333333337123
2020-06-28,18.0,194.66666666666666,0.0,565.6666666666666,0.0,0.3333333333333144,0.0,0.33333333333325754
2020-06-29,18.0,195.0,0.0,566.0,0.0,0.3333333333333428,0.0,0.33333333333337123
2020-06-30,18.0,195.0,0.0,581.0,0.0,0.0,0.0,15.0
2020-07-01,18.0,195.0,0.0,596.0,0.0,0.0,0.0,15.0
2020-07-02,18.0,195.0,0.0,596.0,0.0,0.0,0.0,0.0
2020-07-03,18.0,195.0,0.0,596.0,0.0,0.0,0.0,0.0
2020-07-04,18.0,195.0,0.0,596.0,0.0,0.0,0.0,0.0
2020-07-05,18.0,195.0,0.0,596.0,0.0,0.0,0.0,0.0
2020-07-06,18.0,195.0,0.0,596.0,0.0,0.0,0.0,0.0
2020-07-07,18.0,195.0,0.0,603.0,0.0,0.0,0.0,7.0
2020-07-08,18.0,195.0,0.0,610.0,0.0,0.0,0.0,7.0
2020-07-09,18.0,195.0,0.0,619.0,0.0,0.0,0.0,9.0
2020-07-10,18.0,195.0,0.0,628.0,0.0,0.0,0.0,9.0
2020-07-11,18.0,195.33333333333334,0.0,630.0,0.0,0.3333333333333428,0.0,2.0
2020-07-12,18.0,195.66666666666666,0.0,632.0,0.0,0.3333333333333144,0.0,2.0
2020-07-13,18.0,196.0,0.0,634.0,0.0,0.3333333333333428,0.0,2.0
2020-07-14,18.0,196.0,0.0,641.0,0.0,0.0,0.0,7.0
2020-07-15,18.0,196.0,0.0,648.0,0.0,0.0,0.0,7.0
2020-07-16,18.0,197.0,0.0,652.0,0.0,1.0,0.0,4.0
2020-07-17,18.0,198.0,0.0,656.0,0.0,1.0,0.0,4.0
2020-07-18,18.0,198.0,0.0,657.0,0.0,0.0,0.0,1.0
2020-07-19,18.0,198.0,0.0,658.0,0.0,0.0,0.0,1.0
2020-07-20,18.0,198.0,0.0,659.0,0.0,0.0,0.0,1.0
2020-07-21,18.0,198.0,0.0,657.5,0.0,0.0,0.0,-1.5
2020-07-22,18.0,198.0,0.0,656.0,0.0,0.0,0.0,-1.5
2020-07-23,18.0,199.0,0.0,663.0,0.0,1.0,0.0,7.0
2020-07-24,18.0,200.0,0.0,670.0,0.0,1.0,0.0,7.0
2020-07-25,18.0,201.0,0.0,677.6666666666666,0.0,1.0,0.0,7.666666666666629
2020-07-26,18.0,202.0,0.0,685.3333333333334,0.0,1.0,0.0,7.6666666666667425
2020-07-27,18.0,203.0,14.0,693.0,0.0,1.0,14.0,7.666666666666629
2020-07-28,18.0,204.0,15.0,700.5,0.0,1.0,1.0,7.5
2020-07-29,18.0,205.0,16.0,708.0,0.0,1.0,1.0,7.5
2020-07-30,18.0,205.33333333333334,16.0,710.0,0.0,0.3333333333333428,0.0,2.0
2020-07-31,18.0,205.66666666666666,16.0,712.0,0.0,0.3333333333333144,0.0,2.0
2020-08-01,18.0,206.0,16.0,714.0,0.0,0.3333333333333428,0.0,2.0
2020-08-02,18.0,206.5,16.0,718.5,0.0,0.5,0.0,4.5
2020-08-03,18.0,207.0,16.0,723.0,0.0,0.5,0.0,4.5
2020-08-04,18.0,207.0,16.0,723.0,0.0,0.0,0.0,0.0
2020-08-05,18.0,207.0,16.0,723.0,0.0,0.0,0.0,0.0
